id,jurisdiction,doc_type,source_system,canonical_id,title,language,date_document,court,court_ecli_code,case_number,decision_type,subject_matters,source_url,content_html_url,content_xml_url
doc-eu-case-62024CJ0018,EU,case_law,curia,ECLI:EU:C:2026:33,"Judgment of the Court (Fourth Chamber) of 22 January 2026.#NOVIS Insurance Company, NOVIS Versicherungsgesellschaft, NOVIS Compagnia di Assicurazioni, NOVIS Poisťovňa a.s. v Česká národní banka.#Reference for a preliminary ruling – Freedom of establishment and freedom to provide services – Single insurance market – Directive 2009/138/EC – Principle of supervision by the home Member State – Article 155 – Competencies of the supervisory authorities of the host Member State – Cooperation with the authorities of the home Member State – Insurance undertaking not complying with the legal provisions applicable in the host Member State – Provisions concerned – Regulation (EU) No 1286/2014 – Packaged retail and insurance-based investment products (PRIIPs) – Directive (EU) 2016/97 – Insurance distribution – Powers of the supervisory authorities of the host Member State to penalise the undertaking concerned – Scope.#Case C-18/24.",en,2026-01-22,,EU,,Judgment,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:62024CJ0018,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:62024CJ0018,https://eur-lex.europa.eu/legal-content/EN/TXT/XML/?uri=CELEX:62024CJ0018
doc-eu-case-62024CJ0453,EU,case_law,curia,ECLI:EU:C:2026:31,"Judgment of the Court (Second Chamber) of 22 January 2026.#Sofiyska gradska prokuratura v BC.#Reference for a preliminary ruling – Area of freedom, security and justice – Framework Decision 2005/214/JHA – Mutual recognition of financial penalties – Article 7(2)(g) – Ground for non-recognition and non-execution – Informing the person concerned of his or her right to contest the case and of the time limits of such a legal remedy – Article 7(3) – Obligation to consult the competent authority of the issuing Member State.#Case C-453/24.",en,2026-01-22,,EU,,Judgment,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:62024CJ0453,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:62024CJ0453,https://eur-lex.europa.eu/legal-content/EN/TXT/XML/?uri=CELEX:62024CJ0453
doc-eu-case-62024CJ0633,EU,case_law,curia,ECLI:EU:C:2026:36,"Judgment of the Court (Sixth Chamber) of 22 January 2026.#F.F. v Istituto nazionale della previdenza sociale (INPS).#Reference for a preliminary ruling – Social security – Migrant workers – Regulation (EC) No 883/2004 – Equal treatment – Aggregation of periods – Article 58 – Agreement between the European Community and its Member States, of the one part, and the Swiss Confederation, of the other, on the free movement of persons – Invalidity benefits – Supplement in order to guarantee receipt of the statutory minimum invalidity benefit – Stricter conditions relating to the contribution period for workers who have exercised their right to freedom of movement.#Case C-633/24.",en,2026-01-22,,EU,,Judgment,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:62024CJ0633,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:62024CJ0633,https://eur-lex.europa.eu/legal-content/EN/TXT/XML/?uri=CELEX:62024CJ0633
doc-eu-case-62024CJ0413,EU,case_law,curia,ECLI:EU:C:2026:30,"Judgment of the Court (Second Chamber) of 22 January 2026.#Vlaams Gewest v P&O North Sea Ferries Limited and P&O Ferries Limited.#Reference for a preliminary ruling – Regulation (EEC) No 4055/86 – Application of the principle of freedom to provide services to maritime transport between Member States and between Member States and third countries – Article 56 TFEU – Article 191 of the Trade and Cooperation Agreement between the European Union and the European Atomic Energy Community, of the one part, and the United Kingdom of Great Britain and Northern Ireland, of the other part – Freedom to provide services – Restrictions – National legislation providing for the payment of a charge for the mandatory use of a vessel traffic services system (‘Verkeersbegeleidingssysteem’), depending on the length of the vessel concerned – Legislation applying to maritime traffic that is bound for ports of Vlaams Gewest (Flemish Region (Belgium)) covered by that system and that departs from a port of a Member State other than the Kingdom of Belgium, but not applying to the traffic between those Flemish ports – Agreement on the withdrawal of the United Kingdom of Great Britain and Northern Ireland from the European Union and the European Atomic Energy Community (Brexit).#Case C-413/24.",en,2026-01-22,,EU,,Judgment,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:62024CJ0413,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:62024CJ0413,https://eur-lex.europa.eu/legal-content/EN/TXT/XML/?uri=CELEX:62024CJ0413
doc-eu-case-62024CJ0379,EU,case_law,curia,ECLI:EU:C:2026:29,"Judgment of the Court (Second Chamber) of 22 January 2026.#Agrupació de Neteja Sanitària, AIE v Tribunal Económico-Administrativo Regional de Cataluña (TEARC).#References for a preliminary ruling – Taxation – Common system of value added tax (VAT) – Directive 2006/112/EC – Supply of services by independent groups of persons, who are carrying on an activity which is exempt from VAT – Services directly necessary for the exercise of the exempt activity – Risk of distortion of competition – Cleaning services in the healthcare and education sectors – National legislation requiring that the services be directly and exclusively linked to the exempt activity and necessary for the exercise of that activity.#Case C-379/24.",en,2026-01-22,,EU,,Judgment,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:62024CJ0379,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:62024CJ0379,https://eur-lex.europa.eu/legal-content/EN/TXT/XML/?uri=CELEX:62024CJ0379
doc-eu-case-62025TJ0071,EU,case_law,curia,ECLI:EU:T:2026:32,"Judgment of the General Court (Second Chamber) of 21 January 2026.#Casa Ermelinda Freitas - Vinhos, S. A. v European Union Intellectual Property Office.#EU trade mark – Opposition proceedings – Application for the EU figurative trade mark EF – Earlier EU word mark EF – ERMELINDA FREITAS – No likelihood of confusion – Article 8(1)(b) of Regulation (EU) 2017/1001.#Case T-71/25.",en,2026-01-21,,EU,,Judgment,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:62025TJ0071,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:62025TJ0071,https://eur-lex.europa.eu/legal-content/EN/TXT/XML/?uri=CELEX:62025TJ0071
doc-eu-case-62024TJ0561,EU,case_law,curia,ECLI:EU:T:2026:30,Judgment of the General Court (First Chamber) of 21 January 2026.#Universal Brand Group Pty Ltd v European Union Intellectual Property Office.#EU trade mark – Opposition proceedings – Application for the EU figurative mark Elton – Earlier national word mark ELON – Relative ground for refusal – Likelihood of confusion – Article 8(1)(b) of Regulation (EU) 2017/1001.#Case T-561/24.,en,2026-01-21,,EU,,Judgment,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:62024TJ0561,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:62024TJ0561,https://eur-lex.europa.eu/legal-content/EN/TXT/XML/?uri=CELEX:62024TJ0561
doc-eu-case-62024TJ0174,EU,case_law,curia,ECLI:EU:T:2026:36,"Judgment of the General Court (Sixth Chamber) of 21 January 2026.#Djchem Chemicals Poland S.A. and The Goodyear Tire & Rubber Company v European Commission.#Environment and protection of human health – Regulation (EC) No 1272/2008 – Classification, labelling and packaging of certain substances and certain mixtures – Delegated Regulation (EU) 2024/197 – Classification and labelling of 1,4-Benzenediamine, N,N’-mixed Ph and tolyl derivs. – Criteria for classification of a substance in the hazard class reproductive toxicity category 1B – Multi-constituent substance – Relevance of adverse effects in humans – Read-across – Manifest errors of assessment – Equal treatment – Proportionality – Rights of the defence.#Case T-174/24.",en,2026-01-21,,EU,,Judgment,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:62024TJ0174,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:62024TJ0174,https://eur-lex.europa.eu/legal-content/EN/TXT/XML/?uri=CELEX:62024TJ0174
doc-eu-case-62025TJ0134,EU,case_law,curia,ECLI:EU:T:2026:35,"Judgment of the General Court (Fifth Chamber, Extended Composition) of 21 January 2026.#D S.A. v P S.A.#Reference for a preliminary ruling – Air transport – Compensation to passengers in the event of a long delay or cancellation of a flight – Exemption – Extraordinary circumstances – Article 5(3) of Regulation (EC) No 261/2004 – Air traffic management decision – Allocation of delayed departure slots due to adverse weather conditions – Possibility of relying on a flight subsequent to that affected by the occurrence of an extraordinary circumstance.#Case T-134/25.",en,2026-01-21,,EU,,Judgment,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:62025TJ0134,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:62025TJ0134,https://eur-lex.europa.eu/legal-content/EN/TXT/XML/?uri=CELEX:62025TJ0134
doc-eu-case-62024TJ0218,EU,case_law,curia,ECLI:EU:T:2026:34,Judgment of the General Court (Fifth Chamber) of 21 January 2026.#DT v Eulex Kosovo.#Arbitration clause – Common foreign and security policy – International civilian staff of EU international missions – Consecutive fixed-term contracts – Termination of the applicant’s contract – Right to be heard – Obligation to state reasons – Principle of sound administration – Duty to have regard for the welfare of staff – Misuse of powers – Equal treatment – Legitimate expectations.#Case T-218/24.,en,2026-01-21,,EU,,Judgment,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:62024TJ0218,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:62024TJ0218,https://eur-lex.europa.eu/legal-content/EN/TXT/XML/?uri=CELEX:62024TJ0218
