id,jurisdiction,doc_type,source_system,canonical_id,title,language,date_document,date_publication,date_entry_into_force,in_force,subject_matters,source_url,content_html_url,content_xml_url
doc-fr-leg-LEGITEXT000006074067_01-09-2012,FR,legislation,legifrance,LEGITEXT000006074067_01-09-2012,,fr,,,,False,,https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006074067_01-09-2012,https://www.legifrance.gouv.fr/codes/id/LEGITEXT000006074067_01-09-2012,
doc-fr-leg-LEGITEXT000006074067_14-06-2014,FR,legislation,legifrance,LEGITEXT000006074067_14-06-2014,,fr,,,,False,,https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006074067_14-06-2014,https://www.legifrance.gouv.fr/codes/id/LEGITEXT000006074067_14-06-2014,
doc-fr-leg-LEGITEXT000006074067_25-01-2015,FR,legislation,legifrance,LEGITEXT000006074067_25-01-2015,,fr,,,,False,,https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006074067_25-01-2015,https://www.legifrance.gouv.fr/codes/id/LEGITEXT000006074067_25-01-2015,
doc-fr-leg-LEGITEXT000006074067_22-02-2014,FR,legislation,legifrance,LEGITEXT000006074067_22-02-2014,,fr,,,,False,,https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006074067_22-02-2014,https://www.legifrance.gouv.fr/codes/id/LEGITEXT000006074067_22-02-2014,
doc-fr-leg-LEGITEXT000006074067_01-01-2022,FR,legislation,legifrance,LEGITEXT000006074067_01-01-2022,,fr,,,,False,,https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006074067_01-01-2022,https://www.legifrance.gouv.fr/codes/id/LEGITEXT000006074067_01-01-2022,
doc-fr-leg-LEGITEXT000006074067_10-11-2019,FR,legislation,legifrance,LEGITEXT000006074067_10-11-2019,,fr,,,,False,,https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006074067_10-11-2019,https://www.legifrance.gouv.fr/codes/id/LEGITEXT000006074067_10-11-2019,
doc-fr-leg-LEGITEXT000025244092_01-01-2026,FR,legislation,legifrance,LEGITEXT000025244092_01-01-2026,,fr,,,,False,,https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000025244092_01-01-2026,https://www.legifrance.gouv.fr/codes/id/LEGITEXT000025244092_01-01-2026,
doc-fr-leg-LEGITEXT000025024948_01-06-2012,FR,legislation,legifrance,LEGITEXT000025024948_01-06-2012,,fr,,,,False,,https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000025024948_01-06-2012,https://www.legifrance.gouv.fr/codes/id/LEGITEXT000025024948_01-06-2012,
doc-fr-leg-LEGITEXT000025024948_07-11-2025,FR,legislation,legifrance,LEGITEXT000025024948_07-11-2025,,fr,,,,False,,https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000025024948_07-11-2025,https://www.legifrance.gouv.fr/codes/id/LEGITEXT000025024948_07-11-2025,
doc-fr-leg-LEGITEXT000006074068_01-01-1971,FR,legislation,legifrance,LEGITEXT000006074068_01-01-1971,,fr,,,,False,,https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006074068_01-01-1971,https://www.legifrance.gouv.fr/codes/id/LEGITEXT000006074068_01-01-1971,
